id,pred_classes
1124303796505649152t,ingredients
1137028855842189313t,side-effect
1059752535517319170t,ingredients side-effect
1177542711047532546t,side-effect
1195538610541518848t,ingredients
996835161479241729t,pharma
1150040895804399616t,side-effect
1120493619650101248t,side-effect
960889893718142976t,conspiracy
1047567783133949952t,pharma
1055137162188984320t,side-effect
1022311157715988480t,country
1102396138349518848t,side-effect
1294890674219671552t,side-effect
1227788034109689859t,side-effect
1327362840802430977t,side-effect
1291014917445820418t,side-effect
1409906050342567941t,side-effect
1358519828542345219t,side-effect
1282430317396197376t,side-effect
1245395347246989315t,side-effect
1382012327206080514t,side-effect
1432970215084724230t,side-effect
1294886491966054400t,mandatory pharma
1364306135117873164t,mandatory
1377439756234055680t,mandatory
1468296326874079236t,side-effect mandatory
1316787118388260864t,mandatory
1315103459939549184t,side-effect
1337530647888470018t,side-effect conspiracy pharma
1340101061558870017t,side-effect
1247782002385805315t,mandatory
1233600944862003200t,mandatory rushed
1452104548814893059t,conspiracy
1456261937205944332t,none
1398535566350864385t,side-effect mandatory
1260185540931973121t,political
1346279766576476160t,side-effect
1252212105442398208t,pharma
1392701008011202560t,political mandatory
1412821670759444482t,mandatory
1379576699604590600t,mandatory
1452623250161348622t,conspiracy
1334854034990243848t,ineffective
1334267556241223681t,side-effect
1439215777278742540t,side-effect ineffective
1289211039993782273t,side-effect ineffective
1229446094595207168t,ineffective
1465343289062735873t,side-effect ineffective
1474484473727098882t,side-effect
1363532007888859137t,side-effect ineffective
1353669325484396545t,side-effect unnecessary ineffective
1407186428421840898t,side-effect mandatory
1354112223904468993t,side-effect
1431301365331111937t,side-effect
1279769971543941121t,none
1274977736117764099t,none
1224716839315484672t,side-effect
1392120579386486789t,ingredients side-effect
1397717661828759553t,side-effect
1223904695162482689t,ineffective
1342461314694787072t,political side-effect
1297386301717729280t,mandatory rushed
1440765654135541763t,political rushed
1444274192069840897t,side-effect
1249543865675075590t,side-effect rushed
1327672003764088834t,side-effect rushed
1335670270879666176t,side-effect rushed
1334037745862385667t,side-effect
1214583129282879488t,rushed
1355797282399145986t,rushed
1401122744608215044t,ingredients side-effect rushed
1415695314435153925t,ineffective
1437098045284368389t,rushed
1356672081916792836t,unnecessary
1389412976583749632t,side-effect
1294967712058421249t,none
1369666268136103944t,side-effect
1404151556824567809t,side-effect
1266196150668984321t,side-effect unnecessary
1301271734943875074t,side-effect ineffective
1403601769473642497t,ineffective
1336770010061164547t,side-effect conspiracy
1218430228151881728t,conspiracy
1362806983657578496t,mandatory
1274025896509427712t,ingredients side-effect conspiracy
1475268027113480196t,side-effect conspiracy pharma
1340660877339537409t,side-effect
1327028029600698369t,ingredients conspiracy
1334159973518102534t,conspiracy
1317790454478524419t,pharma
1387982572395778048t,side-effect conspiracy
1245394476895473665t,ingredients side-effect
1311950965940146176t,ingredients side-effect
1403068514768986115t,ingredients side-effect
1360385425056104450t,side-effect
1224600137055391744t,ingredients ineffective
1443041181466861576t,ingredients side-effect
1272726780269518849t,ingredients side-effect conspiracy
1476945700508340254t,ingredients
1382683169065865220t,side-effect
1235102151048740866t,ingredients side-effect
1455962059871559691t,conspiracy
1320875630486061057t,rushed pharma
1376193896460521477t,pharma
1252663891064246273t,side-effect pharma
1274358264227078146t,side-effect pharma
1278738541644673024t,rushed pharma
1360264291018960898t,political pharma
1463896856040198154t,side-effect pharma
1338158212030328845t,pharma
1297196747136147457t,side-effect
1474392707757916160t,political
1216386756003745793t,mandatory
1467579989902217226t,side-effect mandatory
1217828135586205697t,ingredients mandatory
1306017273795276800t,religious
1304862625298354178t,ingredients side-effect
1306574783002411010t,ingredients
1230854783365525504t,pharma
1258366838515392512t,side-effect conspiracy
1298722136081612802t,ingredients
1341617239930380289t,country
1291054284797145088t,conspiracy pharma
1329898124643495936t,political
1302294757922631680t,country pharma
1422708329600667650t,ineffective
1436999612334804993t,rushed
1224577780274298882t,pharma
1303837456236769282t,side-effect
1285188689346396160t,unnecessary
1556502781678141440t,side-effect
1544819848122974210t,side-effect ineffective
1516946523929530368t,side-effect
1563621539081248770t,mandatory ineffective
1582868681671184384t,side-effect unnecessary
1603498472400887836t,side-effect ineffective
1538659889429594112t,ineffective
1611006778442907649t,ineffective
1559852604120879104t,side-effect
1483830648796168194t,side-effect unnecessary rushed
1590455349852917760t,side-effect
1546069703537344512t,side-effect
1586763364981952512t,side-effect
1542177273817681921t,side-effect
1509872481464733768t,side-effect
1609802503146684417t,side-effect rushed
1604887409107558400t,side-effect
1487929146932183041t,side-effect
1582068198538907648t,ingredients conspiracy
1497521417084039175t,side-effect mandatory
1499022916897361924t,side-effect
1568385556136005638t,mandatory
1612507684573679617t,pharma
1510208970203484169t,mandatory
1540349785139740672t,none
1480037705161527298t,side-effect mandatory
1574533253859377153t,side-effect
1492098111522676740t,side-effect
1569715432386592769t,ingredients side-effect
1581385244716195840t,ingredients side-effect
1589051259243626496t,side-effect
1489899583501123585t,side-effect
1541811444945244163t,none
1557616977367240704t,none
1520485976535093251t,ineffective
1539620513684791298t,side-effect
1563329338686091264t,none
1558359914866790400t,unnecessary ineffective
1494122953608511492t,side-effect
1554914240976371712t,side-effect
1581006944156123136t,side-effect
1597993360547274753t,side-effect
1564643168783589378t,side-effect
1517910257707765762t,none
1516775984997015552t,unnecessary
1530637672104054785t,conspiracy
1592968209027981312t,side-effect pharma
1597641852743987200t,side-effect
1480940014276018177t,conspiracy ineffective pharma
1506024410993635335t,pharma
1539624228361748485t,pharma
1528051316584501248t,pharma
1536464283181146113t,side-effect conspiracy
1486023773195313153t,pharma
1564048568335618048t,pharma
1572075557084622850t,conspiracy
1567636858254901250t,side-effect conspiracy
1527247145488863233t,none
1506851600970629120t,side-effect conspiracy
1480339752679350280t,side-effect pharma
1605997836549492737t,conspiracy pharma
1490677263108648961t,conspiracy pharma
1569408217154715648t,conspiracy
1600173744139382785t,side-effect
1546980463423770625t,conspiracy
1477755654001639424t,ingredients side-effect
1607809784748847109t,ingredients
1554664334889914369t,ingredients
1565076850216509450t,ingredients
1532535144480915456t,ingredients side-effect
1558807906396553217t,ingredients
1597363341324058627t,ingredients
1489700294095413249t,ingredients side-effect
1540462730599178240t,side-effect
1559551527177568258t,side-effect
1604247476529233923t,side-effect rushed ineffective
1599399258549256192t,side-effect rushed
1510289804776382466t,side-effect
1502029746741383171t,side-effect
1494343708120129536t,rushed
1590977810126241794t,rushed
1541998222083690496t,side-effect rushed
1526561481029976064t,side-effect rushed
1613024650208120832t,side-effect rushed
1528422379717857280t,ingredients pharma
1558572005942857733t,side-effect
1551598350927028228t,side-effect
1534594631329013760t,political
1569440670544437248t,political side-effect conspiracy
1607051494158733314t,side-effect
1571885821900521473t,side-effect
1582068198538907648t,ingredients conspiracy
1577349595683848193t,political
1506415309057634310t,political side-effect
1601635992200679426t,pharma
1585265804374941696t,political
1519063810337738753t,side-effect
1611328808371605504t,mandatory
1601383895542673409t,mandatory
1488692870580162560t,side-effect
1607957076009193479t,side-effect
1562491997327618053t,side-effect conspiracy
1569732028198973440t,conspiracy
1142104295833255941t,mandatory
1435711395140710400t,side-effect
1194095921514078208t,side-effect
1179802509948456960t,side-effect
1435981783942770693t,side-effect
1192548254589825025t,side-effect
1203873466065313793t,side-effect
1320461923058622464t,side-effect
1091809322114396160t,side-effect
1382367110060462080t,side-effect
1147762175349526528t,ingredients
1464758065388044290t,side-effect
1026589236848283648t,side-effect
1013541143223685120t,side-effect
1563329338686091264t,none
1477403635206262793t,rushed
1463181520059834376t,side-effect
1011247611423027200t,side-effect
1576237864605560835t,side-effect unnecessary
1070895280508198912t,side-effect ineffective
1367410213368827904t,side-effect
1264564762677063682t,mandatory pharma
1427869878212464642t,mandatory
1229071111440261121t,side-effect mandatory
1462662322586009603t,side-effect
1280902986022170624t,side-effect pharma
1283907011596349440t,side-effect unnecessary ineffective
1347812146961379328t,side-effect
1305242954513219585t,mandatory
1198568502279450624t,side-effect
1184922069403885570t,side-effect
1117478613140606976t,side-effect
1578245382693330945t,ingredients side-effect
1395716286009724934t,side-effect
1294014835445784577t,conspiracy
1514264033205100545t,side-effect
1055817861757837312t,side-effect
1411159440401649665t,side-effect
1571194332056526856t,mandatory
1273415239405453312t,side-effect
1105940245290192896t,none
1128339521458798593t,side-effect pharma
1207343206020657152t,side-effect
974791819715383297t,side-effect
1035372807578898432t,side-effect
1072775871612764160t,side-effect
1505229388564025345t,side-effect
1315376915801419783t,side-effect
1372842885624827907t,mandatory rushed
1237753927740858370t,side-effect
1471812243553763336t,unnecessary
1240649418027741190t,side-effect
1003785133760139264t,side-effect
1428921494747287559t,none
1380380759848968195t,side-effect
1193109327642537985t,side-effect
1398251621008564226t,side-effect
958728722357587970t,ingredients side-effect
1281475284747902976t,none
1160351615360126981t,ingredients
1404736962624372739t,side-effect
1110307266614431746t,side-effect
1184191079807094784t,side-effect
1194291364181270534t,mandatory
1558573749233848321t,side-effect
1074678786984165376t,conspiracy
961430652288688128t,side-effect
1161833791280881664t,side-effect
1175684574220865536t,mandatory
1442237952550064138t,side-effect
971618547175600128t,side-effect
1441632131227078665t,pharma
1342210444354850818t,side-effect
972015490544623616t,none
1060129762427908096t,side-effect
1223344398022463493t,side-effect pharma
989006264163340290t,side-effect
1490753025862168576t,mandatory
1471099269461553156t,side-effect ineffective
1162232865590919170t,side-effect unnecessary
1047326637165957120t,side-effect
1401750570403340290t,political
1393584841011175434t,ingredients side-effect
1184666261176741888t,side-effect
1575815681135677440t,side-effect
1399268357736706050t,rushed
1581322328423550977t,ineffective pharma
1036300156877066240t,side-effect
1374720792764809216t,ineffective
1326744233546555393t,unnecessary
1144935846623305730t,side-effect
1222343067983843328t,side-effect
1197521683806113793t,side-effect ineffective
1021336429413072896t,side-effect
1370474224524083206t,country
1256548922912358400t,side-effect
962109376420081669t,ineffective
1450843980103659526t,side-effect
1364544568511897600t,none
1429867335112925191t,side-effect
1344453684202270721t,side-effect
1579584386605158401t,side-effect
1105590312800583681t,side-effect
1212329385782599680t,side-effect
1390422798028394506t,side-effect
1163831793101021185t,side-effect
998516174194343936t,pharma
977480646602952705t,none
1383805932874846218t,side-effect
1063435772164861952t,side-effect
1065450121486188545t,side-effect
1286096449869156359t,side-effect
1154310504564830208t,side-effect
1207022553685848065t,side-effect
1189142140040953862t,conspiracy
1542507320097181696t,side-effect mandatory
1079652213855870976t,side-effect
966803400791764993t,ineffective pharma
1282894889508896774t,side-effect pharma
1249733610472476674t,side-effect
1306932704059981824t,side-effect ineffective
1602604430515486720t,side-effect
1581904000672489473t,ineffective
1487075012817272840t,side-effect rushed
1543595923519016961t,side-effect conspiracy ineffective
1263991360874524674t,side-effect mandatory
1349874060646354944t,none
1303121085660041217t,side-effect
1416051936860594182t,side-effect
1215264207555432448t,ingredients
1122076523392131073t,side-effect
1577032427318706176t,side-effect rushed
1503050277670342658t,conspiracy
1521458600278994945t,side-effect
1302879136113926144t,side-effect
986017219741126656t,side-effect
1388555067624669184t,side-effect pharma
1359245245473562633t,side-effect unnecessary
1072914615342895104t,side-effect
994266024244666368t,ingredients conspiracy
1205902724400865281t,ingredients
1309555036259721217t,side-effect
1099937642169405440t,side-effect
1536674508731518985t,side-effect
1183314494874968064t,side-effect
1327581896243556352t,side-effect
1407551365669265408t,side-effect
