id,pred_classes
1032725464333279232t,side-effect
1124303796505649152t,ineffective
1137028855842189313t,pharma
1059752535517319170t,ingredients side-effect
1177542711047532546t,side-effect
1195538610541518848t,side-effect
996835161479241729t,pharma
1150040895804399616t,none
1120493619650101248t,side-effect
960889893718142976t,ingredients side-effect
1047567783133949952t,ingredients side-effect
1055137162188984320t,ingredients side-effect
1022311157715988480t,pharma
1102396138349518848t,side-effect
1294890674219671552t,side-effect
1227788034109689859t,side-effect
1327362840802430977t,ingredients pharma side-effect
1291014917445820418t,side-effect
1409906050342567941t,side-effect
1358519828542345219t,side-effect
1282430317396197376t,side-effect
1245395347246989315t,side-effect
1382012327206080514t,side-effect
1432970215084724230t,side-effect
1294886491966054400t,pharma political
1364306135117873164t,none conspiracy mandatory
1377439756234055680t,mandatory unnecessary
1468296326874079236t,side-effect
1316787118388260864t,mandatory
1315103459939549184t,none side-effect
1337530647888470018t,conspiracy pharma side-effect
1340101061558870017t,pharma
1247782002385805315t,mandatory political
1233600944862003200t,pharma rushed side-effect
1452104548814893059t,conspiracy
1456261937205944332t,side-effect
1398535566350864385t,mandatory side-effect
1260185540931973121t,pharma
1346279766576476160t,pharma
1252212105442398208t,pharma
1392701008011202560t,side-effect
1412821670759444482t,mandatory
1379576699604590600t,conspiracy mandatory
1452623250161348622t,conspiracy ingredients pharma side-effect
1334854034990243848t,ineffective
1334267556241223681t,side-effect
1439215777278742540t,ineffective side-effect
1289211039993782273t,side-effect
1229446094595207168t,ineffective side-effect
1465343289062735873t,side-effect
1474484473727098882t,side-effect
1363532007888859137t,ineffective
1353669325484396545t,side-effect
1407186428421840898t,ingredients ineffective side-effect
1354112223904468993t,side-effect
1431301365331111937t,none
1279769971543941121t,none
1274977736117764099t,none
1224716839315484672t,side-effect
1392120579386486789t,side-effect
1397717661828759553t,side-effect
1223904695162482689t,ineffective side-effect
1342461314694787072t,side-effect
1297386301717729280t,mandatory rushed
1440765654135541763t,mandatory political
1444274192069840897t,rushed
1249543865675075590t,ineffective rushed side-effect
1327672003764088834t,rushed side-effect
1335670270879666176t,rushed side-effect
1334037745862385667t,rushed side-effect
1214583129282879488t,rushed
1355797282399145986t,rushed
1401122744608215044t,ingredients rushed
1415695314435153925t,ineffective unnecessary
1437098045284368389t,rushed
1356672081916792836t,ineffective unnecessary
1389412976583749632t,side-effect
1294967712058421249t,none
1369666268136103944t,side-effect
1404151556824567809t,side-effect
1266196150668984321t,side-effect
1301271734943875074t,side-effect
1403601769473642497t,none unnecessary
1336770010061164547t,conspiracy side-effect
1218430228151881728t,ingredients side-effect
1362806983657578496t,conspiracy pharma
1274025896509427712t,side-effect
1475268027113480196t,conspiracy pharma side-effect
1340660877339537409t,pharma side-effect
1327028029600698369t,conspiracy ingredients side-effect
1334159973518102534t,ingredients
1317790454478524419t,pharma
1387982572395778048t,side-effect
1245394476895473665t,side-effect
1311950965940146176t,side-effect
1403068514768986115t,ingredients side-effect
1360385425056104450t,ingredients side-effect
1224600137055391744t,ineffective
1443041181466861576t,side-effect
1272726780269518849t,conspiracy ingredients side-effect
1476945700508340254t,ingredients
1382683169065865220t,side-effect
1235102151048740866t,side-effect
1455962059871559691t,conspiracy pharma
1320875630486061057t,pharma rushed side-effect
1376193896460521477t,pharma
1252663891064246273t,pharma side-effect
1274358264227078146t,pharma side-effect
1278738541644673024t,rushed
1360264291018960898t,pharma
1463896856040198154t,pharma side-effect
1338158212030328845t,pharma
1297196747136147457t,pharma side-effect
1474392707757916160t,mandatory
1216386756003745793t,mandatory
1467579989902217226t,side-effect
1217828135586205697t,side-effect
1306017273795276800t,pharma
1304862625298354178t,ingredients side-effect
1306574783002411010t,ingredients side-effect
1230854783365525504t,pharma
1258366838515392512t,ineffective unnecessary
1298722136081612802t,ingredients
1341617239930380289t,ineffective rushed
1291054284797145088t,pharma
1329898124643495936t,mandatory political
1302294757922631680t,pharma
1422708329600667650t,ineffective rushed
1436999612334804993t,ineffective rushed
1224577780274298882t,ingredients
1303837456236769282t,side-effect
1285188689346396160t,none pharma
1556502781678141440t,rushed side-effect
1544819848122974210t,ineffective none
1516946523929530368t,side-effect
1563621539081248770t,mandatory unnecessary
1582868681671184384t,side-effect
1603498472400887836t,ineffective
1538659889429594112t,ineffective
1611006778442907649t,ineffective
1559852604120879104t,ineffective side-effect
1483830648796168194t,ineffective
1590455349852917760t,side-effect
1546069703537344512t,side-effect
1586763364981952512t,side-effect
1542177273817681921t,side-effect
1509872481464733768t,side-effect
1609802503146684417t,rushed side-effect
1604887409107558400t,side-effect
1487929146932183041t,side-effect
1582068198538907648t,side-effect
1497521417084039175t,none
1499022916897361924t,side-effect
1568385556136005638t,mandatory
1612507684573679617t,pharma
1510208970203484169t,mandatory
1540349785139740672t,ineffective
1480037705161527298t,side-effect
1574533253859377153t,side-effect
1492098111522676740t,side-effect
1569715432386592769t,side-effect
1581385244716195840t,side-effect
1589051259243626496t,side-effect
1489899583501123585t,side-effect
1541811444945244163t,none
1557616977367240704t,side-effect
1520485976535093251t,ineffective
1539620513684791298t,rushed side-effect
1563329338686091264t,none side-effect
1558359914866790400t,side-effect
1494122953608511492t,side-effect
1554914240976371712t,side-effect
1581006944156123136t,side-effect
1597993360547274753t,side-effect
1564643168783589378t,side-effect
1517910257707765762t,none
1516775984997015552t,mandatory unnecessary
1530637672104054785t,conspiracy pharma
1592968209027981312t,pharma side-effect
1597641852743987200t,side-effect
1480940014276018177t,pharma rushed
1506024410993635335t,pharma
1539624228361748485t,pharma side-effect
1528051316584501248t,pharma
1536464283181146113t,side-effect
1486023773195313153t,pharma rushed
1564048568335618048t,pharma side-effect
1572075557084622850t,conspiracy ingredients side-effect
1567636858254901250t,side-effect
1527247145488863233t,none
1506851600970629120t,side-effect
1480339752679350280t,pharma
1605997836549492737t,conspiracy ingredients side-effect
1490677263108648961t,conspiracy pharma
1569408217154715648t,conspiracy
1600173744139382785t,conspiracy ingredients side-effect
1546980463423770625t,conspiracy side-effect
1477755654001639424t,side-effect
1607809784748847109t,ingredients side-effect
1554664334889914369t,ingredients side-effect
1565076850216509450t,conspiracy ingredients
1532535144480915456t,none side-effect
1558807906396553217t,ingredients
1597363341324058627t,ingredients
1489700294095413249t,conspiracy ingredients side-effect
1540462730599178240t,side-effect
1559551527177568258t,side-effect
1604247476529233923t,ineffective rushed
1599399258549256192t,side-effect
1510289804776382466t,side-effect
1502029746741383171t,ineffective rushed side-effect
1494343708120129536t,rushed
1590977810126241794t,rushed side-effect
1541998222083690496t,rushed side-effect
1526561481029976064t,rushed side-effect
1613024650208120832t,rushed side-effect
1528422379717857280t,pharma rushed side-effect
1558572005942857733t,ingredients side-effect
1551598350927028228t,side-effect
1534594631329013760t,political
1569440670544437248t,conspiracy mandatory
1607051494158733314t,side-effect
1571885821900521473t,side-effect
1582068198538907648t,side-effect
1577349595683848193t,pharma political
1506415309057634310t,side-effect
1601635992200679426t,pharma political
1585265804374941696t,pharma
1519063810337738753t,side-effect
1611328808371605504t,pharma
1601383895542673409t,conspiracy none mandatory
1488692870580162560t,mandatory none side-effect
1607957076009193479t,conspiracy ingredients
1562491997327618053t,conspiracy ingredients
1569732028198973440t,pharma side-effect
1142104295833255941t,mandatory
1435711395140710400t,side-effect
1194095921514078208t,side-effect
1179802509948456960t,side-effect
1435981783942770693t,side-effect
1192548254589825025t,side-effect
1203873466065313793t,side-effect
1320461923058622464t,side-effect
1091809322114396160t,side-effect
1382367110060462080t,side-effect
1147762175349526528t,none
1464758065388044290t,side-effect
1026589236848283648t,side-effect
1013541143223685120t,side-effect
1563329338686091264t,none side-effect
1477403635206262793t,rushed
1463181520059834376t,side-effect
1011247611423027200t,side-effect
1576237864605560835t,none
1070895280508198912t,ineffective side-effect
1367410213368827904t,side-effect
1264564762677063682t,pharma political
1427869878212464642t,mandatory unnecessary
1229071111440261121t,side-effect
1462662322586009603t,side-effect
1280902986022170624t,pharma side-effect
1283907011596349440t,side-effect unnecessary
1347812146961379328t,side-effect
1305242954513219585t,mandatory
1198568502279450624t,side-effect
1184922069403885570t,side-effect
1117478613140606976t,side-effect
1578245382693330945t,side-effect
1395716286009724934t,side-effect
1294014835445784577t,conspiracy mandatory pharma political
1514264033205100545t,side-effect
1055817861757837312t,side-effect
1411159440401649665t,side-effect
1571194332056526856t,unnecessary ineffective mandatory
1273415239405453312t,side-effect
1105940245290192896t,pharma side-effect
1128339521458798593t,rushed side-effect
1207343206020657152t,none
974791819715383297t,side-effect
1035372807578898432t,side-effect
1072775871612764160t,side-effect
1505229388564025345t,side-effect
1315376915801419783t,side-effect
1372842885624827907t,mandatory rushed none
1237753927740858370t,ineffective side-effect
1471812243553763336t,ineffective unnecessary
1240649418027741190t,side-effect
1003785133760139264t,side-effect
1428921494747287559t,none
1380380759848968195t,side-effect
1193109327642537985t,side-effect
1398251621008564226t,none pharma
958728722357587970t,side-effect
1281475284747902976t,none
1160351615360126981t,mandatory none
1404736962624372739t,side-effect
1110307266614431746t,side-effect
1184191079807094784t,side-effect
1194291364181270534t,mandatory
1558573749233848321t,side-effect
1074678786984165376t,none ingredients side-effect
961430652288688128t,side-effect
1161833791280881664t,side-effect
1175684574220865536t,mandatory
1442237952550064138t,side-effect
971618547175600128t,side-effect
1441632131227078665t,pharma
1342210444354850818t,side-effect
972015490544623616t,none
1060129762427908096t,side-effect
1223344398022463493t,pharma side-effect
989006264163340290t,side-effect
1490753025862168576t,mandatory
1471099269461553156t,ineffective
1162232865590919170t,side-effect
1047326637165957120t,side-effect
1401750570403340290t,side-effect political pharma
1393584841011175434t,side-effect
1184666261176741888t,side-effect
1575815681135677440t,side-effect
1399268357736706050t,rushed
1581322328423550977t,ineffective pharma
1036300156877066240t,conspiracy mandatory side-effect
1374720792764809216t,ineffective
1326744233546555393t,none
1144935846623305730t,rushed side-effect
1222343067983843328t,side-effect
1197521683806113793t,side-effect
1021336429413072896t,side-effect
1370474224524083206t,none
1256548922912358400t,side-effect
962109376420081669t,ineffective
1450843980103659526t,side-effect
1364544568511897600t,none
1429867335112925191t,side-effect
1344453684202270721t,side-effect
1579584386605158401t,side-effect
1105590312800583681t,side-effect
1212329385782599680t,side-effect
1390422798028394506t,side-effect
1163831793101021185t,side-effect
998516174194343936t,side-effect
977480646602952705t,none
1383805932874846218t,ingredients side-effect
1063435772164861952t,mandatory side-effect none
1065450121486188545t,side-effect
1286096449869156359t,side-effect
1154310504564830208t,pharma side-effect
1207022553685848065t,side-effect
1189142140040953862t,ingredients
1542507320097181696t,side-effect
1079652213855870976t,side-effect
966803400791764993t,pharma
1282894889508896774t,pharma side-effect
1249733610472476674t,side-effect
1306932704059981824t,unnecessary none ineffective
1602604430515486720t,side-effect
1581904000672489473t,ineffective
1487075012817272840t,rushed
1543595923519016961t,ingredients side-effect ineffective
1263991360874524674t,mandatory side-effect
1349874060646354944t,mandatory unnecessary
1303121085660041217t,side-effect
1416051936860594182t,side-effect
1215264207555432448t,side-effect
1122076523392131073t,side-effect
1577032427318706176t,rushed side-effect
1503050277670342658t,ingredients rushed
1521458600278994945t,pharma side-effect
1302879136113926144t,side-effect
986017219741126656t,side-effect
1388555067624669184t,pharma
1359245245473562633t,side-effect
1072914615342895104t,side-effect
994266024244666368t,mandatory ingredients conspiracy
1205902724400865281t,none
1309555036259721217t,side-effect
1099937642169405440t,side-effect
1536674508731518985t,side-effect
1183314494874968064t,side-effect
1327581896243556352t,side-effect
1407551365669265408t,side-effect
